initalTarget,isStereo
트랜스젠더,ambiguous
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,unrelated
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,antiStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,stereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,stereo
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,unrelated
트랜스젠더,stereo
트랜스젠더,noStereo
트랜스젠더,stereo
아내,ambiguous
동남아인,stereo
복서,stereo
아내,unrelated
소프트웨어 개발자,neutral
소프트웨어 개발자,neutral
소프트웨어 개발자,neutral
소프트웨어 개발자,neutral
소프트웨어 개발자,unrelated
소프트웨어 개발자,neutral
일본인,antiStereo
엄마,stereo
북한인,neutral
북한인,stereo
할머니,noStereo
할머니,neutral
할머니,neutral
할머니,neutral
할머니,neutral
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,noStereo
할머니,neutral
요리사,noStereo
요리사,noStereo
요리사,neutral
아프리카인,stereo
러시아인,noStereo
러시아인,noStereo
러시아인,noStereo
러시아인,stereo
교수,noStereo
교수,noStereo
교수,noStereo
교수,noStereo
교수,stereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,noStereo
트랜스젠더,neutral
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,noStereo
여자아이,stereo
운동선수,noStereo
운동선수,noStereo
운동선수,noStereo
운동선수,stereo
동성애자,noStereo
동성애자,noStereo
동성애자,unrelated
개그맨,noStereo
개그맨,noStereo
개그맨,noStereo
개그맨,noStereo
개그맨,neutral
중국인,noStereo
중국인,noStereo
중국인,noStereo
중국인,noStereo
중국인,noStereo
중국인,noStereo
중국인,noStereo
중국인,ambiguous
검사,noStereo
검사,noStereo
검사,noStereo
검사,stereo
인도인,noStereo
인도인,noStereo
인도인,stereo
남학생,stereo
남자친구,noStereo
